iter	Passed	Remaining
412	3184	4526
413	3194	4521
414	3200	4511
415	3204	4498
416	3213	4493
417	3218	4480
418	3227	4475
419	3235	4468
420	3244	4462
421	3252	4454
422	3261	4449
423	3266	4437
424	3270	4425
425	3278	4417
426	3282	4404
427	3289	4396
428	3298	4390
429	3306	4383
430	3311	4371
431	3316	4360
432	3325	4354
433	3329	4342
434	3340	4339
435	3347	4329
436	3351	4317
437	3359	4311
438	3364	4299
439	3370	4289
440	3378	4282
441	3382	4270
442	3390	4263
443	3394	4251
444	3399	4239
445	3406	4231
446	3410	4219
447	3421	4215
448	3428	4207
449	3438	4202
450	3444	4192
451	3453	4186
452	3459	4176
453	3463	4165
454	3472	4159
455	3477	4148
456	3484	4140
457	3488	4128
458	3493	4117
459	3506	4116
460	3511	4105
461	3519	4098
462	3523	4086
463	3532	4080
464	3537	4070
465	3542	4059
466	3549	4051
467	3555	4041
468	3560	4031
469	3569	4024
470	3573	4013
471	3580	4005
472	3585	3994
473	3589	3983
474	3596	3974
475	3600	3964
476	3605	3953
477	3612	3944
478	3616	3934
479	3621	3923
480	3629	3915
481	3633	3905
482	3638	3895
483	3647	3889
484	3652	3877
485	3656	3867
486	3663	3859
487	3668	3848
488	3672	3837
489	3679	3830
490	3684	3819
491	3688	3808
492	3695	3800
493	3699	3789
494	3704	3779
495	3711	3771
496	3716	3761
497	3720	3750
498	3728	3743
499	3732	3732
500	3736	3722
501	3747	3717
502	3751	3706
503	3759	3699
504	3763	3688
505	3767	3678
506	3774	3670
507	3779	3660
508	3783	3649
509	3800	3651
510	3807	3643
511	3811	3633
512	3816	3623
513	3824	3615
514	3828	3605
515	3837	3599
516	3842	3590
517	3848	3580
518	3855	3572
519	3859	3562
520	3864	3552
521	3871	3545
522	3878	3537
523	3886	3530
524	3890	3519
525	3894	3509
526	3904	3504
527	3910	3495
528	3924	3494
529	3930	3485
530	3942	3481
531	3950	3474
532	3956	3466
533	3962	3457
534	3970	3451
535	3977	3442
536	3985	3436
537	3991	3427
538	4000	3421
539	4006	3412
540	4015	3406
541	4021	3398
542	4030	3391
543	4036	3383
544	4049	3381
545	4058	3374
546	4067	3368
547	4075	3361
548	4085	3356
549	4105	3358
550	4113	3351
551	4122	3345
552	4136	3343
553	4145	3337
554	4150	3327
555	4155	3318
556	4162	3310
557	4167	3301
558	4171	3291
559	4179	3283
560	4183	3273
561	4187	3263
562	4195	3256
