iter	Logloss
147	0.1598600359
148	0.1595568481
149	0.1591999912
150	0.1588632671
151	0.1586725629
152	0.1583343239
153	0.1580473883
154	0.1578887658
155	0.1576380666
156	0.1572811782
157	0.1570922493
158	0.1569736767
159	0.156744411
160	0.1566577286
161	0.1564508516
162	0.1562976009
163	0.1558712882
164	0.1558175183
165	0.1556083951
166	0.1552941464
167	0.1550291361
168	0.1548532044
169	0.1546813921
170	0.154437631
171	0.1543275438
172	0.154102944
173	0.1539353768
174	0.1536724636
175	0.1534715995
176	0.1532077001
177	0.1529890592
178	0.1528607429
179	0.1525923205
180	0.1522814791
181	0.1521257501
182	0.1519045008
183	0.1518074765
184	0.1516857888
185	0.1516342712
186	0.1514054268
187	0.151108054
188	0.1508456065
189	0.1506070359
190	0.1504888155
191	0.1501992402
192	0.1499517577
193	0.1499342504
194	0.1497125906
195	0.1495379236
196	0.1495126069
197	0.1494640426
198	0.1492838485
199	0.149263168
200	0.1491376861
201	0.1490524318
202	0.1488521688
203	0.1487470033
204	0.1486383254
205	0.1484633953
206	0.1483070681
207	0.1480989135
208	0.147949088
209	0.1477633322
210	0.1476158754
211	0.1473846019
212	0.1471925069
213	0.1470183235
214	0.1469531617
215	0.1469031489
216	0.1468065069
217	0.1465134371
218	0.1464918971
219	0.1463272919
220	0.1461020038
221	0.1459263382
222	0.1456567028
223	0.145366125
224	0.14509894
225	0.1450653542
226	0.1449874687
227	0.1449209368
228	0.1447531178
229	0.1446424058
230	0.1446325677
231	0.1444533779
232	0.1443331262
233	0.1443178758
234	0.1442263112
235	0.1441681133
236	0.1439513862
237	0.1439432586
238	0.143872683
239	0.1437206258
240	0.1436599639
241	0.1436104907
242	0.143538265
243	0.1433749653
244	0.1432825614
245	0.1432740338
246	0.143169034
247	0.1430463216
248	0.1429493635
249	0.142828055
250	0.1426694935
251	0.1425076587
252	0.1424026742
253	0.142371756
254	0.1421646396
255	0.1419212977
256	0.1417582428
257	0.1416105403
258	0.1415799073
259	0.1414170438
260	0.1412912837
261	0.1411563345
262	0.141148727
263	0.1411293218
264	0.1410910231
265	0.1409066784
266	0.1408126663
267	0.1407869014
268	0.1406367331
269	0.1404789212
270	0.1404059406
271	0.1402184194
272	0.14008351
273	0.1399982261
274	0.1398919242
275	0.1398593922
276	0.1398146383
277	0.1397955183
278	0.1397282617
279	0.1395906116
280	0.1395751018
281	0.139378409
282	0.1393539691
283	0.1392977677
284	0.1391081335
285	0.1389484202
286	0.138893394
287	0.1387070748
288	0.138663099
289	0.1384847258
290	0.1384035093
291	0.138339185
292	0.1382993803
293	0.13817844
294	0.1381510265
295	0.1379197358
296	0.1379106483
297	0.1377049723
298	0.1375768964
299	0.137555166
300	0.1373383699
301	0.1373075085
302	0.1371164486
303	0.1370996838
304	0.1370708977
305	0.1369015783
306	0.136774672
307	0.1367211555
308	0.1365642138
309	0.136437073
310	0.1363360222
311	0.1362276118
312	0.1361882691
313	0.1360554803
314	0.1358783892
315	0.135789788
316	0.1355737005
317	0.1355653498
318	0.1354671817
319	0.1354059551
320	0.1353608559
321	0.1352769658
322	0.135266217
323	0.1351744261
324	0.1350415114
325	0.134944265
326	0.1349291998
327	0.134776352
328	0.1347569834
329	0.1347467312
330	0.1346673095
331	0.1345594142
332	0.1344308249
333	0.1343462554
334	0.1343159829
335	0.1342099775
336	0.1341901714
337	0.134113783
338	0.1340157587
339	0.1339919254
340	0.1339317224
341	0.1338512772
342	0.1337014054
343	0.1336825991
344	0.1336636174
345	0.1334568537
346	0.1334014428
347	0.1333244844
348	0.1330846354
349	0.132982951
350	0.1328892106
351	0.1328781083
352	0.132810068
353	0.1327860266
354	0.1327338283
355	0.1326460886
356	0.1325992726
357	0.132517373
358	0.1324373924
359	0.1324236824
360	0.1323345876
361	0.132310623
362	0.1322804976
363	0.1320613888
364	0.1319342044
365	0.1319004736
366	0.1317580427
367	0.1316790611
368	0.1316653831
369	0.1316244938
370	0.1315442065
371	0.1314705893
372	0.1313779504
373	0.1312691141
374	0.1311057128
375	0.1309383738
376	0.1307558528
377	0.1306599305
378	0.1305915327
379	0.1305238899
380	0.1305099821
381	0.1304287334
382	0.1303631727
383	0.1302726877
384	0.1301597507
385	0.1301394239
386	0.1301226123
387	0.130092079
388	0.1299366632
389	0.1299184497
390	0.1299010611
391	0.1297384803
392	0.1297189319
393	0.1296933469
394	0.1296744726
395	0.1296604934
396	0.1295359781
397	0.1295224353
398	0.1294072662
399	0.1293005618
400	0.1292524171
401	0.1290833233
402	0.1290741236
403	0.1290581246
404	0.1289241932
405	0.1288310229
406	0.1288207125
407	0.1287608263
408	0.1286616206
409	0.1286423212
410	0.1286263355
411	0.1286126386
412	0.1285989533
413	0.1285527329
414	0.1285286135
415	0.1284209066
416	0.1283452203
417	0.1282361788
418	0.1281433068
419	0.1280554502
420	0.1279026779
421	0.1278790818
422	0.127868635
423	0.1278448516
424	0.127790246
425	0.1276525787
426	0.1276370099
427	0.127568484
428	0.1274155856
429	0.1272939398
430	0.1271392683
431	0.1271279792
432	0.1269539486
433	0.1268196937
434	0.1267247652
435	0.1265533912
436	0.1265350569
437	0.1264553011
438	0.1264393969
439	0.1264181616
440	0.1263977405
441	0.1263586012
442	0.1262637349
443	0.1261690312
444	0.1261567758
445	0.1261186221
446	0.1259971311
447	0.1259862413
448	0.1258918733
449	0.1258604162
450	0.1258455305
451	0.1257232168
452	0.1256981006
453	0.1255863029
454	0.1255437909
455	0.1255259677
456	0.1254913082
457	0.1253607801
458	0.1252019263
459	0.1250908948
460	0.1249550419
461	0.1249435225
462	0.1249201787
463	0.1248105558
464	0.1247696071
465	0.1247598132
466	0.1246979639
467	0.1246223674
468	0.1245228714
469	0.1244447347
470	0.1243442107
471	0.1243059677
472	0.1242572069
473	0.1241811077
474	0.1241666465
475	0.1241346267
476	0.1241241731
477	0.1241055688
478	0.1240916463
479	0.1239247704
480	0.1239107042
481	0.1238170656
482	0.1237619035
483	0.123620509
484	0.1235799245
485	0.1235080545
486	0.1234386555
487	0.123347683
488	0.1232410648
489	0.1232268238
490	0.1231560297
491	0.1231458481
492	0.123134653
493	0.1230696483
494	0.1229052368
495	0.1228443608
496	0.1227044501
497	0.1226311427
498	0.1226152145
499	0.122607498
500	0.122597235
501	0.1225073318
502	0.1223260378
503	0.1223151124
504	0.122305177
505	0.1221978494
506	0.1221712012
507	0.1221599813
508	0.122061833
509	0.1219614522
510	0.1218484732
511	0.1217574796
512	0.1217444797
513	0.1216577403
514	0.1215431287
515	0.1215356392
516	0.1214655135
517	0.1213301976
518	0.1212525307
519	0.1211669092
520	0.1211148318
521	0.1210130618
522	0.1209881242
523	0.1208978769
524	0.1208857877
525	0.1207799965
526	0.1207681748
527	0.1206279451
528	0.1206194503
529	0.1206099182
530	0.1205979448
531	0.120520544
532	0.1205106584
533	0.1203978746
534	0.1203701679
535	0.1202844191
536	0.1202348579
537	0.1202264811
538	0.120137743
539	0.1200984461
540	0.1200909068
541	0.1200343823
542	0.1199473094
543	0.1199383086
544	0.1198156857
545	0.1197107364
546	0.1195439768
547	0.1195320139
548	0.119431897
549	0.119419357
550	0.119361696
551	0.1193539326
552	0.1192763008
553	0.1192147589
554	0.119116734
555	0.119086752
556	0.119077666
557	0.1189921156
558	0.1189844221
559	0.1189011325
560	0.1188101212
561	0.1187955644
562	0.1187087727
563	0.1185856784
564	0.1185058233
565	0.1183665231
566	0.1183435492
567	0.1182462288
568	0.1181859914
569	0.1181773771
570	0.1180894209
571	0.1180821764
572	0.1180725371
573	0.1179809783
574	0.1179002195
575	0.1178315597
576	0.1177793692
577	0.1177715598
578	0.1176769342
579	0.1176636025
580	0.1175469632
581	0.1174116273
582	0.1172813522
583	0.117206066
584	0.1171301864
585	0.1170765136
586	0.116987149
587	0.1168955774
588	0.1168862696
589	0.1168602053
590	0.116851261
591	0.1167663368
592	0.1166442947
593	0.116624108
594	0.1165254653
595	0.116446208
596	0.1163665443
597	0.1163152886
598	0.1162583524
599	0.1162498682
600	0.1161405085
601	0.1161342669
602	0.1159836214
603	0.1159752323
604	0.1159072175
605	0.1158141879
606	0.1157685025
607	0.1157594887
608	0.1156949061
609	0.115646279
610	0.115630171
611	0.1155468215
612	0.1155398379
613	0.1155004522
614	0.1154306481
615	0.115327898
616	0.1152568286
617	0.115168921
618	0.1150470768
619	0.1150342774
620	0.1149337182
621	0.1148650626
622	0.1148582795
623	0.1147731545
624	0.11469029
625	0.1146847446
626	0.1146224292
627	0.1146106062
628	0.1145729311
629	0.1144605564
630	0.1143941984
631	0.1143876512
632	0.1142873676
633	0.1142394504
634	0.1141701017
635	0.1141221637
636	0.1141033364
637	0.1140346744
638	0.1139216921
639	0.1139162893
640	0.1138217712
641	0.1138155887
642	0.1137561566
643	0.1137240373
644	0.1137161558
645	0.1135815786
646	0.1135248564
647	0.1134377706
648	0.1134315654
649	0.1133454941
650	0.1133404805
651	0.1132954329
652	0.1132271396
653	0.1131404364
654	0.1130727307
655	0.1129941893
656	0.1129759109
657	0.1129006726
658	0.1128958832
659	0.1128077503
660	0.1128011913
661	0.1127519632
662	0.1127186068
663	0.1126832073
664	0.1126750677
665	0.1126224326
666	0.1125398882
667	0.1125342965
668	0.1124288998
669	0.1124174334
670	0.1123377909
671	0.1123151495
672	0.1122475546
673	0.1121486526
674	0.1121437217
675	0.1120308805
676	0.1119548921
677	0.1119500556
678	0.1119392134
679	0.1118623073
680	0.1118502027
681	0.1118408599
682	0.1118062963
683	0.1117125138
684	0.1117028972
685	0.1116012952
686	0.1115109369
687	0.1115005086
688	0.1114336261
689	0.1114280462
690	0.111337849
691	0.1112755561
692	0.1111835105
693	0.111080582
694	0.1110752499
695	0.1110076588
696	0.1108863233
697	0.1108811445
698	0.11082474
699	0.1107578847
700	0.1106835326
701	0.1105708812
702	0.1105355643
703	0.1104746098
704	0.110415545
705	0.1103668637
706	0.1102962463
707	0.1102224448
708	0.1101341775
709	0.1100656473
710	0.1099990461
711	0.1099923219
712	0.1099464332
713	0.1098647515
714	0.1098227017
715	0.1097342762
716	0.1096669885
717	0.109657043
718	0.1095873815
719	0.1095682963
720	0.109537195
721	0.1095274274
722	0.109522803
723	0.1094245782
724	0.1093629739
725	0.1093567688
726	0.1092864336
727	0.1092542057
728	0.1091578502
729	0.1090841767
730	0.108989094
731	0.108982817
732	0.1089722105
733	0.1089145346
734	0.1088666512
735	0.1087895122
736	0.1087220892
737	0.1086685966
738	0.1085646073
739	0.1084649473
740	0.1084593085
741	0.1084307875
742	0.1084205232
743	0.108317155
744	0.1082867094
745	0.1081900361
746	0.1080637829
747	0.1080057304
748	0.107943849
749	0.1078525323
750	0.1077838737
751	0.1077783764
752	0.1077236831
753	0.1077149516
754	0.1076174977
755	0.1075729763
756	0.1075668775
757	0.1075123168
758	0.1075025834
759	0.1074382149
760	0.1073812921
761	0.1073760307
762	0.1072830859
763	0.1072611389
764	0.1072045245
765	0.1071278161
766	0.1070959551
767	0.1070320533
768	0.1069637381
769	0.1069046453
770	0.1068841611
771	0.1068309964
772	0.1067139224
773	0.1066363217
774	0.1065476224
775	0.106495079
776	0.1064881427
777	0.1064589004
778	0.1063653929
779	0.1063614173
780	0.1062948379
781	0.1062275128
782	0.1062233486
783	0.1061576062
784	0.1060813596
785	0.1060731963
786	0.1059910115
787	0.105977304
788	0.1059093119
789	0.1058265707
790	0.1057730589
791	0.1056885527
792	0.1056299851
793	0.1055779956
794	0.1055498885
795	0.1055420202
796	0.1054328054
797	0.1053578282
798	0.1053278677
799	0.1053207544
800	0.1052687826
801	0.1051861478
802	0.1051458977
803	0.1050803079
804	0.1050488598
805	0.1050188755
806	0.1049938422
807	0.1049173479
808	0.1048928846
809	0.1048544514
810	0.1047688893
811	0.1047651144
812	0.1047431878
813	0.1046850306
814	0.104677494
815	0.1046485114
816	0.104599761
817	0.1045364624
818	0.1045280384
819	0.1044801769
820	0.1044231186
821	0.1044147418
822	0.1043280414
823	0.1042480963
824	0.1042324734
825	0.10414821
826	0.1040733133
827	0.1039611033
828	0.1039572093
829	0.1039079354
830	0.1038131446
831	0.1038064206
832	0.1037582979
833	0.1036885644
834	0.1036262445
835	0.1035772847
836	0.1035091345
837	0.1034385585
838	0.1034082863
839	0.1033014685
840	0.1032974812
841	0.1032460196
842	0.1031858191
843	0.1031001347
844	0.1030965228
845	0.1030557799
846	0.1030290729
847	0.1029999297
848	0.102953164
849	0.1029203901
850	0.1028380617
851	0.102810384
852	0.1027763631
853	0.1027070701
854	0.1027000983
855	0.1026174876
856	0.1025502065
857	0.1025450879
858	0.1024941673
859	0.1024900503
860	0.1024475238
861	0.1023908818
862	0.102330187
863	0.1023195833
864	0.1022918467
865	0.1022351958
866	0.1021902587
867	0.1021835229
868	0.1021567356
869	0.1020942466
870	0.1020841383
871	0.1020763867
872	0.1020331938
873	0.1019503926
874	0.1019074518
875	0.1018730765
876	0.1018245768
877	0.1018171319
878	0.1017877574
879	0.1017016145
880	0.1016977452
881	0.1016918469
882	0.1016819393
883	0.101616942
884	0.1015683393
885	0.1015156117
886	0.1015123438
887	0.1014805641
888	0.1014117741
889	0.1013923291
890	0.101350652
891	0.1013125793
892	0.1012576519
893	0.1011835105
894	0.101136224
895	0.1011325905
896	0.1011293088
897	0.1011231274
898	0.1010693075
899	0.1010130751
900	0.1010099372
901	0.1010002655
902	0.1009166575
903	0.1009110423
904	0.1008499353
905	0.1008246224
906	0.1008045084
907	0.1007589791
908	0.1006917245
909	0.1006194958
910	0.1005816984
911	0.1005766262
912	0.1005308866
913	0.1004333339
914	0.1003610906
915	0.1003032606
916	0.100246878
917	0.1002194484
918	0.1001947563
919	0.1001710694
920	0.1001667753
921	0.1001127176
922	0.1000745992
923	0.1000234038
924	0.0999547166
925	0.09995180271
926	0.09994876883
927	0.09991002004
928	0.09985633843
929	0.09985145592
930	0.0997774715
931	0.09975798398
932	0.09970983036
933	0.09970585481
934	0.09964602999
935	0.09959800539
936	0.09952303543
937	0.09946962958
938	0.09943522948
939	0.09941976
940	0.09934484329
941	0.09929138728
942	0.09928863859
943	0.09922887184
944	0.09916909881
945	0.09913056385
946	0.09907366681
947	0.09902303002
948	0.09901812273
949	0.09900229194
950	0.09895185885
951	0.0989140762
952	0.09891138535
953	0.09888757531
954	0.09884145799
955	0.09874968031
956	0.09873367956
957	0.09865711864
958	0.0985902408
959	0.09858725631
960	0.09858456068
961	0.09856172853
962	0.09855718707
963	0.09853419098
964	0.09852831195
965	0.09852220002
966	0.09847600024
967	0.09840769463
968	0.09838905729
969	0.09830815406
970	0.09826656122
971	0.09825119145
972	0.09818463106
973	0.0981337632
974	0.09813069598
975	0.09810512856
976	0.09804000594
977	0.09802424117
978	0.09799255307
979	0.0979558974
980	0.09789005078
981	0.0978339645
982	0.09773721397
983	0.09772291672
984	0.09771020299
985	0.09770748969
986	0.09770166199
987	0.09765627631
988	0.09765378715
989	0.09761278104
990	0.0975618896
991	0.09755936498
992	0.09755385598
993	0.09751589477
994	0.09745917963
995	0.09744189967
996	0.09740650645
997	0.09738267283
998	0.0973394064
999	0.09728427818
